Date,City,Air Quality Index,Carbon Monoxide,Nitric Oxide,Nitrogen Oxide,Ozone,Sulfur Dioxide,Ammonia,Particulate matter 2.5 micrometers,Particulate matter 10 micrometers
2025-09-05 12:00:00,Cape Town,2,71.23,0.0,0.02,69.06,0.26,0.0,2.31,10.66
2025-09-05 13:00:00,Cape Town,2,70.98,0.0,0.02,70.23,0.25,0.0,2.18,9.98
2025-09-05 14:00:00,Cape Town,2,70.72,0.0,0.02,70.51,0.23,0.0,2.0,8.99
2025-09-05 15:00:00,Cape Town,2,70.82,0.0,0.02,70.6,0.22,0.0,1.81,7.98
2025-09-05 16:00:00,Cape Town,2,71.19,0.0,0.03,70.23,0.21,0.0,1.66,7.17
2025-09-05 17:00:00,Cape Town,2,71.68,0.0,0.03,69.44,0.2,0.0,1.5,6.38
2025-09-05 18:00:00,Cape Town,2,72.43,0.0,0.04,68.76,0.19,0.0,1.36,5.65
2025-09-05 19:00:00,Cape Town,2,73.08,0.0,0.04,68.02,0.17,0.0,1.26,5.11
2025-09-05 20:00:00,Cape Town,2,73.65,0.0,0.04,67.32,0.16,0.0,1.19,4.76
2025-09-05 21:00:00,Cape Town,2,74.12,0.0,0.04,66.79,0.15,0.0,1.16,4.6
2025-09-05 22:00:00,Cape Town,2,74.34,0.0,0.04,66.43,0.15,0.0,1.15,4.52
2025-09-05 23:00:00,Cape Town,2,74.51,0.0,0.04,65.88,0.15,0.0,1.14,4.46
2025-09-06 00:00:00,Cape Town,2,74.59,0.0,0.04,65.66,0.14,0.0,1.12,4.33
2025-09-06 01:00:00,Cape Town,2,74.48,0.0,0.05,65.46,0.13,0.0,1.09,4.17
2025-09-06 02:00:00,Cape Town,2,74.6,0.0,0.06,65.83,0.13,0.0,1.05,4.03
2025-09-06 03:00:00,Cape Town,2,74.63,0.0,0.06,65.38,0.13,0.0,1.06,4.03
2025-09-06 04:00:00,Cape Town,2,74.38,0.0,0.06,64.85,0.13,0.0,1.08,4.07
2025-09-06 05:00:00,Cape Town,2,74.22,0.0,0.06,64.52,0.13,0.0,1.08,4.07
2025-09-06 06:00:00,Cape Town,2,74.13,0.0,0.06,64.31,0.13,0.0,1.09,4.05
2025-09-06 07:00:00,Cape Town,2,74.15,0.0,0.06,64.22,0.12,0.0,1.09,4.01
2025-09-06 08:00:00,Cape Town,2,73.96,0.01,0.06,64.01,0.12,0.0,1.08,3.95
2025-09-06 09:00:00,Cape Town,2,73.88,0.01,0.05,63.91,0.12,0.0,1.08,3.92
2025-09-06 10:00:00,Cape Town,2,73.79,0.01,0.04,63.89,0.12,0.0,1.08,3.88
2025-09-06 11:00:00,Cape Town,2,73.65,0.01,0.04,63.93,0.11,0.0,1.07,3.82
2025-09-06 12:00:00,Cape Town,2,73.46,0.01,0.03,64.0,0.11,0.0,1.05,3.72
2025-09-06 13:00:00,Cape Town,2,73.26,0.01,0.03,64.09,0.11,0.0,1.03,3.62
2025-09-06 14:00:00,Cape Town,2,73.29,0.01,0.03,64.59,0.1,0.0,1.01,3.56
2025-09-06 15:00:00,Cape Town,2,73.17,0.01,0.04,64.67,0.1,0.0,1.0,3.52
2025-09-06 16:00:00,Cape Town,2,73.05,0.01,0.04,64.75,0.1,0.0,0.99,3.48
2025-09-06 17:00:00,Cape Town,2,73.05,0.0,0.05,65.1,0.1,0.0,0.97,3.43
2025-09-06 18:00:00,Cape Town,2,73.06,0.0,0.06,65.48,0.1,0.0,0.95,3.37
2025-09-06 19:00:00,Cape Town,2,73.14,0.0,0.06,65.91,0.11,0.0,0.93,3.32
2025-09-06 20:00:00,Cape Town,2,73.14,0.0,0.06,66.26,0.11,0.0,0.9,3.27
